skill_match_percentage,semantic_similarity_percentage,relevant_experience_years,interview_score,assessment_score,required_skills_matched,total_required_skills,skill_gap_percentage,success
69.6,71.2,5.1,91.5,55.6,5,7,30.4,1
38.1,34.2,1.6,54.1,33.3,2,6,61.9,0
56.8,79.4,3.3,60.9,47.5,3,6,43.2,0
59.2,19.4,5.5,35.5,46.8,4,7,40.8,0
26.6,43.0,6.5,57.9,17.5,1,3,73.4,0
97.3,100.0,1.2,82.9,66.2,6,6,2.7,1
79.8,48.7,2.9,56.6,68.1,4,5,20.2,0
94.6,89.4,3.1,76.5,74.9,8,8,5.4,1
90.5,85.0,3.0,61.6,71.0,7,8,9.5,1
63.8,42.7,1.3,70.8,43.3,4,6,36.2,0
93.0,81.3,10.8,44.3,69.0,3,3,7.0,1
18.0,1.3,2.8,66.5,4.0,2,9,82.0,0
27.6,53.9,1.4,11.2,33.4,1,3,72.4,0
14.1,28.1,11.0,61.6,37.7,1,4,85.9,0
39.3,58.4,9.1,35.7,23.8,2,5,60.7,0
45.0,55.8,3.7,86.7,36.1,1,3,55.0,0
34.4,17.5,2.3,79.0,38.9,2,7,65.6,0
84.6,76.7,0.7,73.4,78.3,4,5,15.4,1
42.1,49.4,4.8,92.4,35.8,3,8,57.9,0
35.3,17.0,2.1,47.9,29.2,2,5,64.7,0
58.8,69.5,3.3,96.5,30.6,4,7,41.2,0
22.7,19.1,10.3,81.8,29.6,1,6,77.3,0
82.2,76.6,2.0,60.7,84.7,6,7,17.8,0
16.7,27.4,4.7,85.4,27.8,1,7,83.3,0
98.8,100.0,5.7,45.1,74.1,6,6,1.2,0
79.5,74.1,7.6,50.2,65.9,5,6,20.5,1
27.9,45.3,3.1,54.0,31.6,2,6,72.1,0
10.5,0.0,2.8,55.5,13.2,1,6,89.5,0
83.4,92.6,2.8,46.0,73.3,5,6,16.6,0
73.6,82.5,4.4,87.0,61.4,5,7,26.4,1
75.6,71.0,8.9,60.3,60.5,3,4,24.4,1
79.4,84.3,2.7,71.3,52.9,3,4,20.6,0
16.7,0.0,0.2,54.7,38.0,0,3,83.3,0
42.3,56.1,6.2,32.2,47.0,2,4,57.7,0
20.4,17.7,3.5,69.9,21.7,2,8,79.6,0
87.7,79.8,4.9,30.6,77.6,4,4,12.3,0
66.1,81.8,0.7,63.8,49.7,5,7,33.9,0
39.8,29.2,2.1,40.4,31.0,2,6,60.2,0
15.7,0.0,5.8,100.0,16.8,1,6,84.3,0
38.0,14.6,1.0,81.4,20.1,3,9,62.0,0
39.3,48.4,4.7,66.9,43.3,4,9,60.7,0
75.7,56.5,3.2,87.7,42.1,7,9,24.3,0
67.4,93.7,1.8,49.8,43.1,5,7,32.6,0
89.8,58.6,1.6,74.8,48.2,7,8,10.2,1
52.5,77.9,1.3,68.6,45.6,2,4,47.5,0
20.8,23.9,3.5,69.8,26.0,1,7,79.2,0
74.2,72.7,3.8,87.9,56.2,2,3,25.8,0
78.5,70.3,2.5,78.2,51.7,5,6,21.5,0
60.5,66.5,1.3,70.2,39.6,5,9,39.5,0
79.4,78.8,4.6,35.2,67.3,4,5,20.6,1
54.4,71.0,6.3,47.7,42.2,2,3,45.6,0
57.0,58.8,5.2,62.8,52.4,5,9,43.0,0
48.5,50.7,12.0,66.7,35.2,4,8,51.5,0
12.3,6.8,2.9,44.7,24.2,0,3,87.7,0
19.7,18.9,8.3,100.0,39.9,1,7,80.3,0
12.8,17.4,1.9,92.3,28.6,1,4,87.2,0
67.3,41.6,1.7,75.8,51.2,4,6,32.7,0
38.3,18.1,3.7,66.3,40.5,3,8,61.7,0
55.8,66.9,9.5,61.2,46.1,4,8,44.2,0
91.7,94.2,2.6,47.9,70.1,5,5,8.3,1
32.4,29.7,0.7,66.4,31.2,1,3,67.6,0
46.9,47.2,6.2,69.6,41.5,2,5,53.1,0
78.0,83.2,3.1,42.6,63.9,3,4,22.0,0
30.6,22.5,4.2,71.0,23.4,3,9,69.4,0
16.9,5.3,1.7,62.2,15.0,1,4,83.1,0
36.1,39.0,3.6,30.7,22.8,3,9,63.9,0
24.5,9.8,0.8,49.5,13.7,1,5,75.5,0
93.7,99.8,10.9,57.6,59.0,6,6,6.3,1
82.7,57.2,7.0,99.0,66.2,3,4,17.3,1
67.0,82.4,3.5,75.0,46.3,3,5,33.0,1
88.4,95.5,6.1,41.0,73.2,3,3,11.6,1
82.3,86.2,1.9,73.7,64.7,4,5,17.7,0
26.8,41.5,6.8,37.1,11.4,1,5,73.2,0
90.3,100.0,2.5,84.5,75.7,6,7,9.7,1
58.5,73.8,2.4,56.5,58.2,2,4,41.5,0
82.7,55.1,1.4,63.3,54.7,5,6,17.3,0
90.6,71.5,4.6,88.9,73.6,5,6,9.4,1
38.6,29.2,3.4,41.8,29.6,3,7,61.4,0
19.9,20.3,8.5,39.9,27.9,2,9,80.1,0
30.5,38.3,1.3,54.5,20.7,2,8,69.5,0
48.4,37.6,4.6,83.7,26.1,4,9,51.6,0
83.6,86.4,7.4,37.7,61.3,5,6,16.4,0
87.5,76.1,3.9,14.0,66.2,4,5,12.5,0
10.6,1.5,2.5,56.9,17.4,1,7,89.4,0
56.0,34.9,3.8,74.9,36.7,2,3,44.0,0
47.6,33.7,8.0,86.6,39.5,2,4,52.4,0
30.0,9.7,8.0,56.7,35.7,1,4,70.0,0
20.8,6.1,3.0,57.6,27.0,1,4,79.2,0
40.4,56.2,7.9,85.8,41.1,2,5,59.6,0
94.9,80.6,3.3,31.3,65.2,3,3,5.1,0
39.1,78.6,6.0,58.0,50.2,3,7,60.9,0
56.7,64.1,5.0,68.4,37.3,4,7,43.3,0
73.3,76.0,2.4,73.1,63.8,3,4,26.7,0
42.7,29.9,1.5,55.8,52.5,1,3,57.3,0
97.5,100.0,7.6,65.6,78.3,3,3,2.5,1
96.6,88.0,9.0,20.2,70.9,3,3,3.4,1
32.7,34.5,4.5,53.2,29.3,2,6,67.3,0
54.8,93.2,3.3,73.2,58.2,3,6,45.2,0
37.1,35.6,1.1,47.3,23.0,1,4,62.9,0
35.6,52.9,7.4,66.1,26.7,1,3,64.4,0
13.3,2.8,4.1,73.0,19.0,1,8,86.7,0
64.9,64.3,2.7,58.8,66.3,2,3,35.1,0
55.2,81.8,6.1,68.1,51.9,4,7,44.8,0
14.6,5.2,0.9,47.7,14.1,1,7,85.4,0
35.1,62.3,1.4,61.3,32.9,1,4,64.9,0
91.7,100.0,1.9,76.0,63.9,7,8,8.3,1
31.6,23.1,4.8,67.8,26.8,1,3,68.4,0
23.0,32.5,3.8,54.4,38.6,2,9,77.0,0
54.1,68.6,5.3,69.0,33.7,4,8,45.9,0
98.7,100.0,7.1,77.9,90.3,4,4,1.3,1
31.8,8.2,5.4,28.1,42.4,2,7,68.2,0
70.5,59.6,11.0,85.9,68.2,6,9,29.5,1
78.5,74.8,7.1,58.9,57.5,5,7,21.5,0
31.4,30.3,3.0,72.7,32.3,2,6,68.6,0
75.5,84.8,2.1,86.6,46.0,3,4,24.5,0
43.1,45.8,3.1,40.3,35.6,2,4,56.9,0
66.9,46.9,5.5,52.2,60.1,2,3,33.1,0
67.0,72.7,2.3,59.8,68.2,2,3,33.0,0
58.2,67.4,5.6,50.9,38.9,3,6,41.8,0
18.1,26.5,5.2,96.2,22.2,2,9,81.9,0
85.2,100.0,1.5,49.6,64.6,4,5,14.8,0
38.9,51.4,7.0,55.0,24.4,3,8,61.1,0
26.8,33.7,4.4,68.7,37.0,1,5,73.2,0
13.7,12.6,10.7,43.4,16.0,1,5,86.3,0
63.2,38.3,3.3,57.9,51.0,3,4,36.8,0
71.0,77.4,2.6,70.7,53.1,6,8,29.0,0
11.5,14.6,1.3,59.0,14.0,0,4,88.5,0
56.1,60.2,1.3,63.3,48.6,4,8,43.9,0
30.4,11.2,6.4,55.5,31.1,2,7,69.6,0
68.1,51.8,10.0,37.7,52.1,3,4,31.9,0
25.7,41.5,3.1,70.8,23.1,1,4,74.3,0
72.2,71.6,2.9,96.6,61.5,3,4,27.8,1
44.8,55.0,3.5,65.3,58.4,4,9,55.2,0
94.3,94.7,7.3,69.1,73.0,6,6,5.7,1
22.4,22.8,1.5,77.5,38.4,1,4,77.6,0
40.7,54.8,4.0,42.2,25.5,1,3,59.3,0
20.2,12.5,6.5,95.6,28.7,1,3,79.8,0
93.2,94.7,4.8,68.6,60.0,7,8,6.8,1
89.0,82.0,0.1,94.4,53.6,6,7,11.0,1
33.2,26.7,5.4,51.8,27.5,2,6,66.8,0
69.4,64.8,4.8,97.7,68.6,6,9,30.6,1
83.5,86.9,8.3,79.0,74.6,7,8,16.5,1
60.0,52.8,9.5,75.0,53.4,2,3,40.0,0
57.7,76.5,8.0,69.2,34.3,3,6,42.3,0
31.8,18.3,3.5,60.5,32.1,2,6,68.2,0
18.4,15.6,0.7,86.6,29.0,1,7,81.6,0
90.7,84.2,2.9,67.5,71.2,5,6,9.3,1
91.0,100.0,3.4,29.6,51.2,4,4,9.0,1
67.0,69.9,9.9,44.9,46.3,4,6,33.0,0
40.5,56.0,1.8,61.7,38.7,3,7,59.5,0
41.4,19.1,1.0,70.6,45.2,3,8,58.6,0
75.3,79.3,2.3,64.0,38.2,5,7,24.7,0
90.7,100.0,1.8,86.9,67.8,8,9,9.3,1
89.8,91.1,0.9,29.9,70.3,6,7,10.2,1
80.2,96.2,3.1,67.6,71.6,2,3,19.8,1
67.8,60.0,3.6,32.3,62.6,3,4,32.2,0
17.6,38.7,0.8,78.7,31.4,1,3,82.4,0
24.5,59.0,2.6,63.3,21.7,2,8,75.5,0
90.9,85.4,1.7,72.6,50.4,5,5,9.1,1
64.6,57.9,3.6,49.5,49.8,5,8,35.4,0
10.8,32.6,3.9,88.0,31.5,0,4,89.2,0
19.1,42.8,1.7,83.8,40.4,1,6,80.9,0
69.7,61.9,7.0,75.5,63.9,5,7,30.3,0
10.5,4.2,3.4,62.7,25.6,1,5,89.5,0
24.5,20.2,1.8,75.4,33.5,1,4,75.5,0
59.4,39.2,0.8,52.3,45.1,2,3,40.6,0
72.3,58.5,4.1,80.4,57.1,5,7,27.7,0
68.7,53.6,4.8,94.7,72.9,5,8,31.3,1
30.2,18.7,2.2,84.3,23.7,1,3,69.8,0
74.1,73.6,3.7,51.9,75.6,3,4,25.9,0
31.4,34.9,9.5,71.5,30.6,1,4,68.6,0
39.3,62.5,6.2,41.7,51.8,3,8,60.7,0
77.2,62.2,0.3,75.3,47.2,4,5,22.8,0
68.5,83.2,1.8,73.1,61.9,5,8,31.5,0
86.4,83.2,3.0,31.3,59.5,5,6,13.6,0
69.2,68.4,3.5,44.1,42.4,2,3,30.8,0
61.1,71.3,3.8,59.9,53.9,3,5,38.9,0
18.4,1.6,4.6,59.6,36.2,1,7,81.6,0
43.1,48.8,3.1,43.2,32.4,4,9,56.9,0
33.9,36.4,3.4,72.0,20.3,2,6,66.1,0
32.0,39.3,6.4,69.5,33.3,2,5,68.0,0
97.6,100.0,4.1,61.5,72.7,9,9,2.4,1
45.4,82.2,1.2,51.4,47.7,4,9,54.6,0
90.3,80.7,3.6,83.9,78.7,3,3,9.7,1
66.8,58.8,3.0,94.8,54.5,3,4,33.2,0
81.5,72.2,0.5,56.3,82.5,6,7,18.5,1
55.2,46.9,3.8,54.0,50.4,4,8,44.8,0
61.9,52.4,1.3,73.8,48.7,2,3,38.1,0
54.3,72.2,6.5,58.6,31.5,3,6,45.7,0
27.6,48.9,4.6,62.5,28.9,2,9,72.4,0
75.0,66.5,1.1,78.3,56.6,5,6,25.0,0
35.3,22.8,6.3,30.6,45.8,3,9,64.7,0
12.2,19.3,8.4,88.7,26.9,0,4,87.8,0
68.1,59.8,2.7,66.3,44.1,3,4,31.9,0
25.9,35.4,3.0,57.6,32.3,2,7,74.1,0
94.6,97.7,5.9,63.4,78.5,8,8,5.4,1
95.9,73.1,8.0,64.3,87.8,7,7,4.1,1
92.3,100.0,0.6,33.8,79.3,4,4,7.7,1
43.3,70.3,1.2,91.9,48.6,2,4,56.7,0
11.4,2.2,2.4,65.7,22.4,1,6,88.6,0
93.5,87.7,2.6,73.0,75.0,4,4,6.5,1
48.5,52.8,5.8,82.1,56.6,2,5,51.5,0
97.0,100.0,8.0,46.6,59.9,9,9,3.0,1
96.7,100.0,8.4,73.5,69.5,3,3,3.3,1
86.8,100.0,0.6,60.2,59.3,3,4,13.2,1
36.5,33.8,1.7,80.2,40.7,3,7,63.5,0
44.7,32.7,2.0,26.7,54.1,4,8,55.3,0
86.6,65.9,1.6,63.2,61.0,8,9,13.4,0
38.5,27.6,4.6,54.1,14.2,3,9,61.5,0
25.3,24.8,5.0,72.8,26.0,2,8,74.7,0
60.1,87.0,3.3,73.5,60.2,5,8,39.9,0
94.3,86.5,3.1,52.3,76.9,8,9,5.7,0
72.6,76.0,2.5,52.2,62.9,4,5,27.4,0
61.3,61.1,2.7,63.0,49.0,4,7,38.7,0
18.7,36.6,9.4,48.9,13.5,1,5,81.3,0
65.4,100.0,5.5,80.2,59.4,3,4,34.6,1
99.1,91.1,2.5,58.4,66.1,3,3,0.9,1
22.6,15.3,3.1,12.7,50.4,2,8,77.4,0
56.6,72.3,4.6,58.3,54.7,4,7,43.4,0
89.0,99.2,1.1,46.3,62.6,7,8,11.0,1
76.7,100.0,3.7,35.6,54.9,4,5,23.3,1
72.7,81.5,5.3,42.7,57.7,4,6,27.3,0
73.2,67.8,4.8,67.0,56.5,3,4,26.8,0
42.4,51.2,1.7,88.9,51.6,1,3,57.6,0
36.4,53.1,2.0,70.6,38.7,1,4,63.6,0
82.8,95.1,0.4,54.1,57.4,5,6,17.2,0
82.9,90.5,5.7,73.2,83.7,2,3,17.1,1
88.0,100.0,12.1,56.7,68.3,5,6,12.0,1
92.2,100.0,1.5,52.5,78.0,4,4,7.8,1
56.0,76.8,7.1,44.2,42.5,3,5,44.0,0
55.1,64.9,11.4,33.5,51.7,5,9,44.9,0
81.8,79.3,2.3,58.0,67.2,3,4,18.2,0
68.5,70.7,3.1,67.8,37.2,3,4,31.5,0
73.2,91.3,4.0,63.3,79.1,3,4,26.8,1
81.6,69.4,4.7,57.5,76.9,6,7,18.4,0
90.1,95.6,4.2,48.0,65.1,5,6,9.9,0
40.4,34.5,2.4,75.9,28.2,2,6,59.6,0
43.8,44.2,5.2,41.3,44.8,4,8,56.2,0
18.5,37.6,2.5,79.0,26.9,1,6,81.5,0
62.0,64.9,4.4,47.0,55.8,5,8,38.0,0
13.2,13.9,3.3,51.5,24.9,1,7,86.8,0
51.9,31.5,0.5,38.6,51.2,3,5,48.1,0
58.8,70.0,7.8,56.0,64.8,5,8,41.2,0
35.8,45.5,2.0,82.6,42.2,1,4,64.2,0
63.2,95.6,8.3,74.3,42.4,3,5,36.8,0
12.7,8.1,6.9,82.6,36.3,1,9,87.3,0
13.4,16.6,3.9,74.4,39.4,1,7,86.6,0
84.0,87.8,4.9,45.1,96.9,5,6,16.0,0
42.4,66.1,5.3,59.0,29.2,3,8,57.6,0
21.4,20.0,2.8,51.0,30.3,1,4,78.6,0
57.0,61.2,3.0,89.0,28.4,2,3,43.0,0
79.3,88.4,5.1,43.5,68.1,7,9,20.7,0
29.4,32.2,3.3,81.1,27.2,1,3,70.6,0
66.1,59.4,2.4,81.1,73.9,3,5,33.9,0
17.7,20.6,1.7,97.9,17.9,1,6,82.3,0
14.7,30.8,4.5,57.6,6.9,0,3,85.3,0
57.8,42.4,2.0,77.8,45.0,3,5,42.2,0
58.7,60.7,6.1,100.0,30.4,4,7,41.3,1
67.4,56.9,6.4,53.9,62.9,3,5,32.6,0
75.3,93.3,4.8,37.4,39.6,7,9,24.7,0
97.8,75.0,5.6,31.2,74.0,5,5,2.2,1
56.5,48.1,4.9,77.8,28.1,5,9,43.5,0
39.1,44.7,5.9,31.1,35.2,2,5,60.9,0
81.6,100.0,5.7,58.3,80.4,3,4,18.4,1
34.4,33.4,4.3,72.9,39.2,2,5,65.6,0
49.5,41.2,6.9,68.3,36.1,4,8,50.5,0
17.1,45.3,2.9,72.7,24.9,1,5,82.9,0
12.3,0.0,1.8,69.0,22.5,0,4,87.7,0
96.6,63.7,1.7,88.0,77.7,4,4,3.4,1
85.2,91.8,2.6,47.9,52.5,6,7,14.8,0
72.6,65.1,0.4,52.8,64.5,7,9,27.4,0
46.8,31.5,3.9,51.1,16.0,3,6,53.2,0
25.6,36.2,5.3,79.9,24.1,1,3,74.4,0
24.1,27.7,6.4,81.2,24.6,1,3,75.9,0
32.5,24.1,0.7,73.1,40.8,2,5,67.5,0
59.4,40.2,1.7,86.3,50.9,4,7,40.6,0
74.3,87.4,6.0,43.8,45.5,4,5,25.7,1
69.4,79.2,2.9,95.0,46.8,2,3,30.6,0
35.2,33.7,5.3,92.4,38.1,3,9,64.8,0
95.9,100.0,1.0,78.2,71.8,9,9,4.1,1
76.4,60.4,8.2,97.1,55.1,7,9,23.6,0
59.9,37.0,1.0,35.2,46.1,2,4,40.1,0
65.1,54.7,3.8,55.6,61.0,4,6,34.9,0
47.8,47.1,3.9,51.8,38.5,3,7,52.2,0
32.3,35.9,2.2,78.0,33.5,1,4,67.7,0
42.0,38.4,4.7,46.1,61.9,3,6,58.0,0
78.2,83.5,4.8,78.6,47.7,5,7,21.8,0
11.3,0.0,4.5,89.7,3.3,1,7,88.7,0
20.4,42.1,2.2,77.5,35.1,1,3,79.6,0
14.1,12.9,1.8,70.1,16.7,1,4,85.9,0
13.7,30.4,2.4,47.2,20.0,1,7,86.3,0
87.0,92.1,1.6,49.8,59.4,7,8,13.0,1
73.3,80.2,7.1,87.5,56.4,7,9,26.7,1
52.7,61.2,2.6,79.0,62.6,4,7,47.3,0
18.8,25.5,3.8,64.3,34.3,1,6,81.2,0
54.2,63.9,5.9,57.5,56.2,2,3,45.8,0
52.6,72.5,1.6,28.5,32.4,3,5,47.4,0
25.6,28.5,0.9,45.7,18.8,2,9,74.4,0
49.0,59.7,1.6,99.4,16.0,1,3,51.0,0
45.9,44.5,4.1,42.0,34.4,2,5,54.1,0
65.4,87.0,3.9,68.4,63.8,3,4,34.6,0
67.2,57.0,4.4,83.1,60.5,3,4,32.8,0
14.1,41.1,3.1,42.4,21.2,1,7,85.9,0
43.7,43.1,0.2,68.3,41.0,3,8,56.3,0
66.3,44.9,3.0,81.9,47.9,3,4,33.7,0
55.3,57.2,6.5,65.2,50.2,4,7,44.7,0
87.1,76.9,7.7,100.0,74.9,8,9,12.9,1
69.3,81.9,3.6,35.0,40.4,2,3,30.7,0
24.7,14.9,3.9,84.1,32.8,1,4,75.3,0
16.4,9.7,5.2,61.9,34.1,0,3,83.6,0
67.8,39.5,7.5,78.9,51.5,2,3,32.2,0
12.4,5.6,3.3,72.9,29.4,1,8,87.6,0
62.7,26.4,5.1,51.8,80.8,3,4,37.3,0
94.6,70.9,2.1,69.1,70.7,3,3,5.4,0
61.8,73.2,1.1,31.6,56.0,5,8,38.2,0
44.9,56.7,2.3,75.9,34.6,4,8,55.1,0
67.9,74.3,8.7,70.4,57.6,3,4,32.1,1
51.2,36.7,5.2,76.5,50.3,4,8,48.8,0
59.1,58.4,1.2,84.0,52.4,2,4,40.9,0
94.7,94.7,5.4,71.6,61.6,4,4,5.3,1
44.7,27.4,1.3,67.7,43.9,2,5,55.3,0
96.5,100.0,4.4,49.1,87.5,3,3,3.5,1
91.5,100.0,1.5,52.2,74.4,5,6,8.5,1
27.6,24.3,1.1,86.4,41.2,1,4,72.4,0
16.2,16.6,9.6,90.9,22.4,0,3,83.8,0
19.1,22.2,2.6,60.7,33.9,2,9,80.9,0
11.6,0.0,5.1,65.8,24.8,1,8,88.4,0
18.5,14.8,3.4,48.7,16.6,1,7,81.5,0
71.5,61.2,1.4,86.1,61.1,3,4,28.5,0
16.4,1.4,2.8,77.0,14.9,1,8,83.6,0
38.7,34.5,1.4,99.9,31.9,3,8,61.3,0
86.0,100.0,14.2,49.2,68.5,7,8,14.0,0
12.1,21.7,5.8,58.2,25.2,1,8,87.9,0
83.3,74.7,3.4,69.2,53.1,7,8,16.7,0
35.4,44.0,5.0,76.6,46.8,1,4,64.6,0
20.6,41.6,5.5,61.1,33.1,2,9,79.4,0
72.7,86.6,5.6,49.3,51.6,4,6,27.3,0
66.6,67.5,5.4,80.9,39.6,3,5,33.4,0
89.0,79.3,5.1,78.0,66.9,7,8,11.0,1
76.2,86.6,3.6,48.5,56.2,6,8,23.8,1
82.3,88.2,9.1,89.4,65.5,4,5,17.7,1
35.4,48.8,3.8,86.1,32.6,3,9,64.6,0
26.0,35.5,3.5,67.4,10.5,2,9,74.0,0
77.6,93.3,3.8,66.4,57.6,3,4,22.4,0
82.6,74.6,4.0,75.0,61.5,2,3,17.4,0
99.1,100.0,0.7,49.5,80.8,7,7,0.9,1
47.1,50.1,1.6,65.5,36.3,3,7,52.9,0
43.5,74.6,3.1,26.3,57.9,1,3,56.5,0
79.9,69.5,0.6,80.8,43.8,3,4,20.1,0
40.7,66.7,3.4,36.9,52.5,3,7,59.3,0
93.8,96.7,4.0,92.1,69.0,8,9,6.2,1
87.3,77.5,1.0,59.1,76.0,4,5,12.7,0
48.6,41.4,2.0,61.2,45.0,1,3,51.4,0
77.6,72.8,7.9,53.7,72.9,7,9,22.4,1
77.9,84.3,5.0,59.8,57.9,5,6,22.1,1
19.3,27.1,4.8,90.5,15.6,1,4,80.7,0
91.2,82.6,7.2,20.2,83.9,3,3,8.8,0
55.5,55.1,1.6,88.0,47.1,4,7,44.5,0
84.4,100.0,1.0,71.1,67.8,3,4,15.6,1
38.8,64.7,6.6,43.3,50.6,2,5,61.2,0
90.6,97.1,3.1,45.6,59.0,4,4,9.4,0
45.0,45.6,1.6,95.2,48.0,2,4,55.0,0
11.0,12.8,0.7,48.0,15.7,1,5,89.0,0
91.5,100.0,3.8,44.2,68.6,7,8,8.5,0
18.2,2.9,2.9,85.5,26.7,1,5,81.8,0
38.7,34.9,2.5,71.1,23.2,3,9,61.3,0
95.5,70.5,0.3,48.1,64.5,4,4,4.5,0
95.6,100.0,9.1,68.9,85.8,5,5,4.4,1
61.6,71.3,0.8,46.5,60.8,5,8,38.4,0
66.9,59.6,2.7,84.8,54.5,6,9,33.1,0
50.4,74.0,2.3,84.1,47.6,2,3,49.6,0
36.4,18.0,5.1,74.6,33.9,2,5,63.6,0
39.6,17.6,0.7,71.5,52.3,2,5,60.4,0
70.5,73.9,4.7,96.7,55.3,3,4,29.5,0
77.7,93.4,3.8,65.0,63.9,7,9,22.3,0
81.2,100.0,1.9,43.7,75.2,2,3,18.8,1
81.1,74.2,4.6,73.1,55.9,5,6,18.9,1
18.2,34.4,3.4,100.0,41.5,1,6,81.8,0
54.5,53.9,10.5,46.7,32.4,4,7,45.5,0
15.2,12.6,2.9,58.5,40.4,1,5,84.8,0
59.5,72.7,1.4,72.5,46.9,3,5,40.5,0
49.7,59.5,4.7,64.0,42.4,1,3,50.3,0
89.9,66.2,2.6,47.3,50.0,7,8,10.1,0
41.6,63.7,3.3,85.2,35.4,2,6,58.4,0
20.5,41.2,1.0,100.0,16.9,1,7,79.5,0
22.9,13.5,5.2,68.5,22.6,1,3,77.1,0
78.5,84.5,2.3,48.7,60.7,4,5,21.5,0
65.6,73.1,4.1,37.1,64.0,4,6,34.4,0
19.1,23.0,12.2,69.6,28.5,2,9,80.9,0
17.6,9.3,2.7,84.9,28.6,1,7,82.4,0
73.1,63.0,5.6,73.6,47.9,3,4,26.9,0
16.5,16.2,2.9,65.0,16.1,1,6,83.5,0
84.0,100.0,1.9,54.4,83.4,6,7,16.0,1
73.6,81.7,8.0,45.3,51.8,2,3,26.4,1
17.3,11.8,0.5,80.0,42.0,1,4,82.7,0
17.6,29.2,6.7,81.4,23.2,1,7,82.4,0
98.8,56.1,0.4,37.2,74.3,7,7,1.2,0
43.7,60.9,6.2,93.6,51.9,2,5,56.3,0
43.4,17.3,3.4,75.3,53.7,3,8,56.6,0
83.2,77.7,1.4,90.2,63.8,5,6,16.8,0
95.3,78.5,2.4,40.8,68.3,5,5,4.7,1
98.7,79.3,5.4,40.4,73.7,9,9,1.3,1
77.8,95.2,11.5,62.3,65.1,3,4,22.2,0
43.9,36.8,0.7,74.1,50.2,4,8,56.1,0
17.5,22.7,1.5,97.3,25.6,1,7,82.5,0
79.9,79.2,0.9,77.7,69.2,4,5,20.1,0
60.3,67.4,2.9,60.6,67.5,5,8,39.7,0
48.2,49.3,6.3,46.5,47.7,4,9,51.8,0
91.6,72.3,0.8,87.1,73.1,5,6,8.4,0
20.0,35.0,3.3,47.6,11.8,2,9,80.0,0
54.3,46.9,6.2,94.3,21.3,2,4,45.7,0
11.0,0.0,2.4,59.9,25.5,0,3,89.0,0
52.2,45.8,3.9,93.6,45.4,3,5,47.8,0
15.1,37.6,7.7,77.2,18.9,1,4,84.9,0
20.7,33.4,1.3,62.5,29.9,1,3,79.3,0
20.6,15.3,0.5,55.7,26.7,1,5,79.4,0
68.4,63.2,4.2,58.9,67.3,3,4,31.6,0
